name,emails,website,phone,address,zip_code,socials,ip_address
Blue Leaf Detailing LLC,info@blueleafdetailing.com,https://www.blueleafdetailing.com/,+1 858-769-6518,"600 W Broadway, San Diego, CA 92101, United States",92101.0,http://instagram.com/blueleafdetailingllc; http://www.tiktok.com/@blueleafdetailingllc; http://twitter.com/squarespace,152.58.179.25
Derick's Mobile Detailing,,https://www.dericksmobiledetailingg.com/,+1 310-902-8732,,,https://www.facebook.com/dericksmobiledetailing/,152.58.179.25
CarTek Mobile Detailing San Diego,,https://cartekmobiledetailing.com/,+1 619-986-8336,"8880 Rio San Diego Dr 8th floor #2029, San Diego, CA 92108, United States",92108.0,,152.58.179.25
Mobile Detailing San Diego,,http://www.mobiledetailingsandiego.com/,+1 619-335-5356,,,https://twitter.com/SoCalMobileAuto; https://www.facebook.com/mobiledetailingsandiego/,152.58.179.25
Melvin Auto Detailing,micah@micahrich.com,https://melvinautodetailing.com/,+1 858-780-4898,,,https://www.instagram.com/melvin_autodetailing/; https://www.facebook.com/249723621563090,152.58.179.25
Sandía Car Auto Detailing,,,+1 619-791-0327,,,,
San Diego Select Car Detailing,,https://www.sandiegoselect.com/,+1 619-815-1605,"1921 Diamond St, San Diego, CA 92109, United States",92109.0,,152.58.179.25
Pacific Coast Auto Detail Center Inc,eduardo@pcadcenter.com,https://www.pacificcoastautodetailing.com/,+1 619-531-9319,"2719 Market St, San Diego, CA 92102, United States",92102.0,https://facebook.com/272553559782; https://instagram.com/pcadcenter,152.58.179.25
Danielle's Pirate Mobile Auto Aesthetic/ Detail and Touch Up Specialist,,https://www.daniellespirate.com/,+1 858-294-2140,,,,152.58.179.25
Speedy Clean Auto Detailing San Diego,,,+1 858-683-1244,"Point Loma Way, San Diego, CA 92106, United States",92106.0,,
Car Wash,,,,"Coronado, CA 92118, United States",92118.0,,
Palm Auto Detail,,https://docs.google.com/forms/d/e/1FAIpQLSfaXoT3Smu6mIg75B_lypZhZGDcjm2dfenIT1bQcSGctIQcwg/viewform,,,,,152.58.179.25
Lux Auto Spa,,https://luxautospa-sd.com/,+1 619-418-0279,,,,152.58.179.25
Flawless Finish Mobile Detailing,vwmiller@gmail.com,http://www.flawlessfinishdetail.com/,+1 619-277-5201,,,https://facebook.com/flawlessfinishmobiledetail; https://instagram.com/flawlessfinishmobiledetail/?hl=en,152.58.179.25
Chavin Auto Detailing | Mobile Car Detailing San Diego,,,+1 619-327-3432,,,,
Auto Detailing San Diego,thesocalway@aol.com,https://thesocalway.com/,+1 619-384-7547,,,https://www.facebook.com/SoCalMobileAutoDetail; https://twitter.com/SoCalMobileAuto; http://www.linkedin.com/company/socal-mobile-auto-detail,152.58.179.25
Official California Detailing,officialcaliforniadetailing@gmail.com,https://www.officialcaliforniadetailing.com/,+1 619-760-4962,"11633 Sorrento Valley Rd Suite 2b, San Diego, CA 92121, United States",11633.0,https://youtube.com/channel/UCOKW-0-2DjjfPdxFnvWzLYQ; https://instagram.com/official_california_detailing/; https://facebook.com/OCD619,152.58.179.25
YuDetailz - Ceramic VIP Car Detailing San Diego,email@example.com,http://yudetailz.com/,+1 760-410-3964,"715 E Washington Ave, Escondido, CA 92025, United States",92025.0,https://www.facebook.com/yudetailz; https://www.instagram.com/yudetailz,152.58.179.25
Awesome Mobile Detail,,http://awesomemobiledetail.com/,+1 858-201-8058,,,https://www.linkedin.com/in/ana-sheremet/; https://www.facebook.com/1566706430092327; https://www.instagram.com/awesomemobiledetail/; https://twitter.com/bestdetail_com,152.58.179.25
Leal’s Premium Auto Details,,https://www.instagram.com/linkshim/?u=http%3A%2F%2Flealspremiumautodetails.square.site%2F%3Ffbclid%3DPAZXh0bgNhZW0CMTEAAaYN997ghvEy1DBs01c8qgNhzEEk5QvLWDqYoVYX-yAkME3_VuPHbjeLnU4_aem_CptYIhj_PSI2bjALF7c04w&e=AT372rWB7y8LpEzGEG59mGhDczrVsieCGd222wLNBvS-IuNwhfknvXm9xWGLnw5owrPl-mWftPWY0DxZE069cy53g8FQI-TL1YsXZ5bcLXo4xhui4kF7x1cwJnx_gA,+1 619-386-2497,,,https://about.instagram.com/blog/; https://about.instagram.com/about-us/careers; https://help.instagram.com/,152.58.179.25
RaomShine Car Detailing,info@roamshine.com,https://roamshine.com/,+1 323-530-6333,,,https://www.youtube.com/embed/EYianEDTm5g; https://x.com/roamshinedetail; https://facebook.com/roamshinedetail; https://instagram.com/roamshinedetail; https://youtube.com/@roamshinedetail,152.58.179.25
OmniLuxe Mobile Car Detail,,,+1 619-882-9327,,,,
"Detail in Progress, Inc.",,http://www.detailinprogress.com/,+1 619-701-1100,,,,152.58.179.25
Vivid Pro Auto Spa,mikey@vividproautospa.com,https://www.vividproautospa.com/,+1 619-772-0590,,,https://www.youtube.com/@VividProAutoSpa; https://www.tiktok.com/@vividproautospa; http://instagram.com/vividproautospa; http://Facebook.com/vividproautospa,152.58.179.25
Instaclean Auto Detailing San Diego,,https://instacleandetailing.shop/services,+1 858-434-5461,"2812 Keats St, San Diego, CA 92106, United States",92106.0,,152.58.179.25
JG auto mobile detailing,support-in@google.com,https://www.youtube.com/channel/UCeM1zzJheLCH-QdANYpV_jw,+1 858-382-6886,,,https://www.youtube.com/creators/; https://www.youtube.com/about/policies/; https://www.youtube.com/about/press/; https://www.youtube.com/about/copyright/; https://www.youtube.com/ads/; https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen; https://www.youtube.com/about/,152.58.179.25
Instant Shine Auto Detailing,,http://www.instantshineautodetail.com/,+1 619-389-1307,,,,152.58.179.25
Coastal Pro Mobile Detailing,,https://coastalprodetails.com/,+1 858-603-6183,,,https://www.facebook.com/coastalprodetails/; https://www.instagram.com/coastalprodetails/,152.58.179.25
Ceramic Pro Elite San Diego,,https://ceramicprosd.com/,+1 619-210-0988,"8026 Miramar Rd, San Diego, CA 92126, United States",92126.0,https://www.facebook.com/CeramicProSanDiego/; https://www.instagram.com/ceramicprosd/; https://www.youtube.com/c/CeramicProElite,152.58.179.25
Hands-On Auto Detail,,https://hands-onautodetail.com/,+1 619-879-2187,"1865 Donax Ave, San Diego, CA 92154, United States",92154.0,,152.58.179.25
Plaza Detail Mobile,info@plazadetail.com,http://www.plazadetail.com/,+1 858-539-3361,"4350 La Jolla village drive Guest parking basement, San Diego, CA 92122, United States",92122.0,,152.58.179.25
TopShine Mobile Detailing,chris@tsautodetails.com,https://tsautodetails.com/,+1 858-224-2382,"7265 Charmant Dr Unit 615, San Diego, CA 92122, United States",92122.0,https://www.instagram.com/topshineautodetail; https://www.facebook.com/TopShineMobileDetail,152.58.179.25
La Jolla Mobile Car Detail San Diego,,https://lajolladetail.com/,+1 858-412-0844,"2420 Torrey Pines Rd UNIT A201, La Jolla, CA 92037, United States",92037.0,,152.58.179.25
BLACK BELT AUTO DETAILING LLC,info@blackbeltautodetail.com,http://www.blackbeltautodetail.com/,+1 619-492-4200,"Level, 4655 Executive Dr B3 Garage, San Diego, CA 92121, United States",92121.0,https://www.instagram.com/blackbeltautodetail/,152.58.179.25
Black Belt Auto Detailing LLC - La Jolla Gateway UTC,info@blackbeltautodetail.com,https://www.blackbeltautodetail.com/,+1 619-492-4200,"9191 Towne Centre Dr Garage Lower Level, San Diego, CA 92122, United States",92122.0,https://www.instagram.com/blackbeltautodetail/,152.58.179.25
Elite Finish,detail@elite-finish.com,https://elite-finish.com/,+1 858-876-8794,"8820 Kenamar Dr #504, San Diego, CA 92121, United States",92121.0,https://www.youtube.com/user/EliteFinishDetailing; https://www.instagram.com/elitefinish/; https://www.facebook.com/EliteFinishDetailing,152.58.179.25
The Auto Finish Studio,%77%65%73%74%63%6f%61%73%74%73%64%31@%67%6d%61%69%6c.%63%6f%6d,http://theautofinishstudio.com/,+1 760-803-9299,"9191 Towne Centre Dr #201, San Diego, CA 92122, United States",92122.0,https://twitter.com/WestCoastAuto16; https://www.instagram.com/theautofinishstudio/,152.58.179.25
MK San Diego Detailing,ian@mksandiego.com,https://www.mksandiego.com/,+1 760-505-6963,,,https://www.instagram.com/mksandiegodetailing?igsh=MmdkaDN6aDhsYXp6,152.58.179.25
Genesis Detailing & Ceramic Coating,genesisdetailingsd@gmail.com,https://www.genesisdetailingsd.com/,+1 619-490-3796,"7875 Convoy Ct STE 4, San Diego, CA 92111, United States",92111.0,https://www.facebook.com/GenesisDetailingSD/; https://www.instagram.com/genesisdetailing/; https://www.youtube.com/channel/UC1qW6kT9wfrnXFQVGUniYiw,152.58.179.25
Stars & Stripes Carwash & Detail,,https://www.carwashsd.com/,+1 858-622-9985,"5716 Miramar Rd, San Diego, CA 92121, United States",92121.0,https://www.facebook.com/Stars-Stripes-Car-Wash-149831921780698/reviews/?ref=page_internal,152.58.179.25
Legends X: On-Demand Mobile Car Wash & Detail App,sales@legendsxapp.com,https://www.legendsxapp.com/,+1 760-593-7141,,,https://www.accesslegendsx.com/service/LA; https://www.accesslegendsx.com/; https://www.facebook.com/p/SD-Legends-61566823527853/; https://www.instagram.com/legendsxapp/,152.58.179.25
Xact Auto Detailing | Mobile Detailing & Ceramic Coatings San Diego,christophersmiththe2nd@gmail.com,http://xactautodetailingsd.com/,+1 619-246-2923,"5808 Greycourt Ave, San Diego, CA 92114, United States",92114.0,https://www.instagram.com/p/Ci0rP3Rv_Yd/; https://www.instagram.com/p/Cs9b3AKPMVz/; https://www.instagram.com/p/CijAP5lPzYl/; https://instagram.com/xactautodetailingsd; https://www.instagram.com/reel/CkgbbgFpCuz/; https://www.instagram.com/reel/Cjd3K0IpZhW/; https://www.instagram.com/reel/Cm66hznI8mf/; https://www.instagram.com/reel/Ck6GvrBpRyT/; https://facebook.com/xactautodetailingsd; https://www.instagram.com/p/Ci-oby5pvkh/; https://www.instagram.com/reel/Cr_sHzAv_IY/; https://www.instagram.com/reel/ClWjAdsLPGi/; https://www.instagram.com/reel/Co5WJEJMD0A/; https://www.instagram.com/p/CxqyCaFypfa/; https://www.instagram.com/reel/Cxdmo-hPrxk/; https://www.instagram.com/reel/CljWSt0pJ4F/; https://www.instagram.com/reel/Clg_6qMMU8u/; https://www.instagram.com/reel/CkGwrYOLKZ3/; https://www.instagram.com/reel/CqBgDy_sj8A/; https://www.instagram.com/reel/Ch5TxTWA-V4/; https://www.instagram.com/p/CxRA0f8yk7-/; https://www.instagram.com/reel/Cn0ZPTSjD1R/; https://www.instagram.com/p/C8CwYluPQck/; https://www.instagram.com/reel/C9aeXe6SIwW/; https://www.instagram.com/reel/CreVrJlvCRE/; https://www.instagram.com/reel/CkMGJwmj13c/; https://www.instagram.com/reel/C5rCGcoronE/; https://www.instagram.com/reel/Cj-ybbPJkgL/; https://www.instagram.com/reel/CjrKJ6RMBeP/; https://www.instagram.com/p/ChWJu_2rFrC/; https://www.instagram.com/reel/C_BkQs5SGtf/; https://www.instagram.com/reel/C59hxasvstq/; https://www.instagram.com/p/CpV9o7_P0Si/; https://www.instagram.com/reel/CoYCEJWMv3x/; https://www.instagram.com/p/Cip8HT7pLSo/; https://www.instagram.com/reel/C4oRCMDyFy6/; https://www.instagram.com/reel/ClWjsxmr28e/; https://www.facebook.com/xactautodetailing; https://www.instagram.com/p/C3dhNW6PJVy/; https://www.instagram.com/p/C8zr8hxvvUs/; https://www.instagram.com/reel/CpxoerfuAUw/; https://www.instagram.com/p/Chd1Ee2Lzqe/; https://www.instagram.com/reel/CuGNnquNfRS/; https://www.instagram.com/p/CnVIOIiSv67/; https://www.instagram.com/p/Clzkn_gPwt7/; https://www.instagram.com/reel/C3ltJnKPTHA/; https://www.instagram.com/reel/CrY3iT9tp4N/; https://www.instagram.com/p/Ch3DxjIvgnG/; https://www.instagram.com/p/Chayrnav2iT/; https://www.instagram.com/reel/C0Xt9V7vdkW/; https://www.instagram.com/reel/C3n2_RPycQr/; https://www.instagram.com/reel/Cia6rKQshhz/; https://www.instagram.com/p/CfM38z4PwLL/; https://www.instagram.com/reel/CmKyIyHOXEh/; https://www.instagram.com/p/CiWUhrHL7PU/; https://www.instagram.com/p/CfpeOGqP_22/; https://www.instagram.com/p/CjWR12WvxS6/; https://www.instagram.com/p/Ce4f9D_vAJ8/; https://www.instagram.com/p/CxLtyiXRSGw/; https://www.instagram.com/p/C51VNlVxfe3/; https://www.instagram.com/p/CuarMryLiTL/; https://www.instagram.com/p/C3rF_SfrXxd/; https://www.instagram.com/p/Cr9NvL2yUp8/; https://www.instagram.com/reel/CnnW8iWoTgZ/; https://www.instagram.com/reel/C799qT1yAnK/; https://www.instagram.com/p/ChdpnW6LEsg/; https://www.instagram.com/p/ChYnTRvr6ep/; https://www.instagram.com/reel/CmrnHjjIbwI/; https://www.instagram.com/p/Cjx6k4-rDo7/,152.58.179.25
San Diego Car Care,,http://sandiegocarcare.com/store-locations/costa-verde/?utm_source=Google&utm_medium=Local&utm_campaign=Costa-Verde-Map,+1 858-587-4844,"8505 Costa Verde Blvd, San Diego, CA 92122, United States",92122.0,https://twitter.com/SanDiegoCarCare; https://www.instagram.com/sandiegocarcare/; https://www.facebook.com/SanDiegoCarCare; https://www.linkedin.com/company/san-diego-car-care,152.58.179.25
Pawlished Up Mobile Detailing,,,+1 951-292-1068,"4397 Benhurst Ave, San Diego, CA 92122, United States",92122.0,,
Can’t stop my shine mobile detailing,,,+1 858-357-7222,"4514 Manitou Way, San Diego, CA 92117, United States",92117.0,,
Carbon Detailing,support@carboncardetailing.com,https://carboncardetailing.com/,+1 858-258-5706,"9419 Fairgrove Ln UNIT 206, San Diego, CA 92129, United States",92129.0,,152.58.179.25
Paradise Car detailing,,https://sun-coast-shine.lovable.app/,+1 510-617-8102,,,,152.58.179.25
Jade Coast Auto Spa,,,+1 424-312-4979,"8051 Jade Coast Rd, San Diego, CA 92126, United States",92126.0,,
Bo Bax Auto Detail,contact@bobaxautodetail.com,http://bobaxautodetail.com/,+1 858-257-1858,"7214 Via Capri, La Jolla, CA 92037, United States",92037.0,,152.58.179.25
Restyle Auto Detailing,,,+1 619-389-4451,"7914 Ronson Rd Suite D, San Diego, CA 92111, United States",92111.0,,
Super Star Car Wash - Miramar Pl & Miramar Rd,,https://locations.superstarcarwashaz.com/ca/san-diego/6270-miramar-rd?utm_source=gmb&utm_medium=yext&utm_campaign=store_3021&y_source=1_MjAxNjYxODU2Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 623-536-5956,"6270 Miramar Rd, San Diego, CA 92121, United States",92121.0,https://www.instagram.com/superstarcarwashes/?hl=en; https://www.youtube.com/channel/UCIAuQVYAeITBuIHLDXNeNqQ; https://www.facebook.com/SuperStarCarWashAZ/,152.58.179.25
Smart Car Care - Detailing Supplies,sales@smartcarcareproducts.com,https://smartcarcareproducts.com/,+1 858-737-4510,"5525 Clairemont Mesa Blvd, San Diego, CA 92117, United States",92117.0,https://www.instagram.com/3dsandiego/; https://www.instagram.com/3descondido/,152.58.179.25
Lux Auto Detailing,,http://www.luxautodetailing.com/,+1 619-800-4126,"8656 Production Ave #2207, San Diego, CA 92121, United States",92121.0,,152.58.179.25
VVS Detailing,,http://vvsautodetailing.com/,+1 858-717-0111,"4905 Morena Blvd Suite 1305, San Diego, CA 92117, United States",92117.0,https://www.youtube.com/c/mykompascom; https://instagram.com/kompascom; https://www.twitter.com/kompascom; https://www.tiktok.com/@kompascom?lang=en; https://www.facebook.com/kompascom,152.58.179.25
Ryan's Mobile Detailing,ryansmobiledetailing15@gmail.com,https://ryansmobiledetailsd.com/,+1 619-866-3119,"5820 La Morada Ct, San Diego, CA 92124, United States",92124.0,,152.58.179.25
Ceramic Coating Miramar,,https://www.ceramiccoatingmiramar.com/,+1 858-588-2785,"6904 Miramar Rd Ste 110, San Diego, CA 92121, United States",92121.0,,152.58.179.25
A&P Detailing Studio,,https://apdetailingstudio.com/,+1 949-966-8477,"6920 Miramar Rd, San Diego, CA 92121, United States",92121.0,,152.58.179.25
Elite Mobile Detailing Services,,http://eliteautodetailsd.com/,+1 619-376-5059,,,,152.58.179.25
Enhanced Mobile Detailing,,,+1 703-541-9959,,,,
California Auto Salon,info@californiaautosalon.com,https://www.californiaautosalon.com/,+1 858-868-5040,"6670 Miramar Rd # A, San Diego, CA 92121, United States",92121.0,https://www.facebook.com/CaliforniaAutoSalon/; https://www.facebook.com/CaliforniaAutoSalon; https://www.instagram.com/californiaautosalon/; https://instagram.com/CaliforniaAutoSalon,152.58.179.25
Royal Mobile Auto Detailing,royaldetailingsd@gmail.com,https://www.royaldetailingsd.com/,+1 619-719-1927,"5875 El Cajon Blvd, San Diego, CA 92115, United States",92115.0,https://twitter.com/RoyalDetailingz; https://www.facebook.com/Royal-Detailing-San-Diego-110533765073465,152.58.179.25
Tint World,,https://www.tintworld.com/locations/ca/san-diego-017,+1 858-457-8000,"5812 Miramar Rd, San Diego, CA 92121, United States",92121.0,,152.58.179.25
Car Glo Auto Detail Supplies,,http://mycarglo.com/,+1 858-430-6864,"7914 Ronson Rd c, San Diego, CA 92111, United States",92111.0,https://www.facebook.com/MyCarGlo/; https://www.prowax.com/; https://www.instagram.com/mycarglo/?hl=en,152.58.179.25
One of One,service@oneofonesandiego.com,http://oneofonesandiego.com/,+1 858-255-0102,"5135 Convoy St, San Diego, CA 92111, United States",92111.0,https://www.instagram.com/OneofOneSanDiego; https://web.facebook.com/OneofOneSanDiego; https://www.instagram.com/oneofonesandiego/,152.58.179.25
3D Car Care - Detailing Supplies,sales@smartcarcareproducts.com,https://smartcarcareproducts.com/,+1 858-737-4510,"5525 Clairemont Mesa Blvd, San Diego, CA 92117, United States",92117.0,https://www.instagram.com/3dsandiego/; https://www.instagram.com/3descondido/,152.58.179.25
Diamond Auto Detailing,,http://www.diamondautodetailingsd.com/,,"4350 La Jolla Village Drive Lower Level Two, San Diego, CA 92122, United States",92122.0,,152.58.179.25
Showtime Detail,esco8711@gmail.com,https://www.showtimedetail.biz/,+1 858-254-0695,,,,152.58.179.25
Self Serve Carwash- Lucky Coin Car Wash,,http://luckycoincarwash.com/,+1 858-877-3536,"4678 Clairemont Mesa Blvd, San Diego, CA 92117, United States",92117.0,,152.58.179.25
Flat Out Detailing,,https://www.flatoutdetailing.com/,+1 858-758-3528,,,http://www.tiktok.com/flatoutdetailing; http://facebook.com/flatout.detailing; http://instagram.com/flatout.detailing,152.58.179.25
JB Detailing LLC,,,+1 858-922-1223,,,,
Detailing Empire,,,062890 62862,"35, Chinar Park, Tegharia, Rajarhat, Kolkata, West Bengal 700052",,,
Dennis Auto Details - Mobile Car Detailing,info@dennisautodetails.com,http://dennisautodetails.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-rancho-bernardo,+1 858-798-6657,"14954 Av. Venusto, San Diego, CA 92128, United States",14954.0,https://www.tiktok.com/@dennisautodetails; https://www.facebook.com/dennisautodetails/; https://www.instagram.com/dennisautodetails/,152.58.179.25
Car Detailing Zone Kolkata,cardetailingzonekolkata@gmail.com,https://cardetailingzonekolkata.com/,085840 03655,"30H, Porui Main Rd, Bakultala, Behala, Kolkata, West Bengal 700061",,https://www.instagram.com/cardetailingzonekolkata; https://www.facebook.com/cardetailingzonekolkata,152.58.179.25
No Limit Mobile Auto Detail,nolimitinc007@gmail.com,http://www.nlautodetailing.com/,+1 760-681-1377,"12636 High Bluff Dr, San Diego, CA 92130, United States",12636.0,https://www.facebook.com/ceramiccoatingking/; https://www.instagram.com/nolimitinc007/,152.58.179.25
All In Mobile Detail,,https://allinmobiledetail.com/,+1 760-583-7217,,,,152.58.179.25
Dennis Auto Details - Mobile Car Detailing San Diego,info@dennisautodetails.com,http://dennisautodetails.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-escondido,+1 858-798-6657,"1157 W Mission Ave, Escondido, CA 92025, United States",92025.0,https://www.tiktok.com/@dennisautodetails; https://www.facebook.com/dennisautodetails/; https://www.instagram.com/dennisautodetails/,152.58.179.25
Fantastic Detailing,,,+1 619-372-1440,,,,
Auto Spa Pros,,https://autostudiowrx.com/,+1 626-991-5667,,,,152.58.179.25
SunDiego Auto Spa | XPEL PPF San Diego,sundiegoautospa@gmail.com,http://www.sundiegoautospa.com/,+1 858-666-6610,"520 N Quince St #2, Escondido, CA 92025, United States",92025.0,https://www.instagram.com/sundiegoautospa/?fbclid=IwAR0LG5WCXV-aBlJqvcsre8Cy6UBCtexn75DfFvJ7Y02HC1NnN4jJou06l6k,152.58.179.25
3RE Auto Detailing,info@3redetailing.com,http://www.3redetailing.com/,,"13449 Robley Ranch Rd, Poway, CA 92064, United States",13449.0,,152.58.179.25
Elite Edge Express Auto Detail,,,+1 858-353-9852,,,,
Dreamlouder Detailing LLC,,,+1 858-215-4707,,,,
Pristine Finish Auto Detailing,,,+1 760-305-3456,,,,
"A+ Detail, Tint & Protection",,http://aplusdetail.com/,+1 619-815-7081,"17135 Camino Del Sur, San Diego, CA 92127, United States",17135.0,,152.58.179.25
San Diego Car Detailing,,,+1 619-722-8394,"7438 Los Brazos, San Diego, CA 92127, United States",92127.0,,
Wax on Wax off Inc.,waxonwaxoff2@msn.com,http://www.waxonwaxoffautospa.net/,+1 760-535-3509,"5951 Linea Del Cielo, Rancho Santa Fe, CA 92091, United States",92091.0,https://www.linkedin.com/company/wix-com; https://www.facebook.com/wix; https://twitter.com/Wix,152.58.179.25
True Shine SD | Mobile Detailing & Ceramic Coatings,,https://trueshinesd.com/,+1 626-344-6095,"4185 Franklin Ave, San Diego, CA 92113, United States",92113.0,,152.58.179.25
Mobile Detailing SD,,http://mobiledetailingsd.com/,+1 760-421-5351,,,https://www.instagram.com/; https://www.facebook.com/,152.58.179.25
Del Mar Detailing,wweeiihhuuaanngg@gmail.com,https://delmardetailing.com/,+1 619-675-8024,"4042 Moratalla Terrace, San Diego, CA 92130, United States",92130.0,https://www.instagram.com/Del.mar.detailing; https://www.facebook.com/428686490325009; https://www.youtube.com/@delmardetailing?si=eSEjgp3tV6y6dG6I; https://www.tiktok.com/@Delmardetailing,152.58.179.25
CE Detail,,http://www.cedetail.com/,+1 760-803-0437,"10855 Sorrento Valley Rd # 9, San Diego, CA 92121, United States",10855.0,https://www.tiktok.com/@cedetail1; https://www.youtube.com/@CEDetail; https://www.facebook.com/206952423048; https://www.instagram.com/cedetail/,152.58.179.25
H2O Heroes - Del Mar,info@h2oheroes.co,https://www.h2oheroes.co/book-online,+1 858-207-6949,"13500 Jadestone Way, San Diego, CA 92130, United States",13500.0,https://twitter.com/h2oheros,152.58.179.25
Suba Car Detailing & Ceramic Coating,,https://subacardetailing.com/,+1 760-812-4248,"16855 Saintsbury Glen, San Diego, CA 92127, United States",16855.0,https://www.instagram.com/subacardetailing/; https://business.facebook.com/latest/home?nav_ref=bm_home_redirect&business_id=306241586957312&asset_id=107245847823702; https://www.youtube.com/@Subacardetailing,152.58.179.25
Top Dog Detail,cole@topdog-detail.com,http://www.topdog-detail.com/,+1 205-356-6685,"11839 Sorrento Valley Rd Ste 907, San Diego, CA 92121, United States",11839.0,,152.58.179.25
San Diego Car Care,,http://sandiegocarcare.com/store-locations/del-mar-highlands/,+1 858-793-8388,"12889 El Camino Real, San Diego, CA 92130, United States",12889.0,https://twitter.com/SanDiegoCarCare; https://www.instagram.com/sandiegocarcare/; https://www.facebook.com/SanDiegoCarCare; https://www.linkedin.com/company/san-diego-car-care,152.58.179.25
Ridin’ Clean Auto Detailing,info@ridincleandetailing.com,http://ridincleandetailing.com/,+1 858-366-3118,"11320 Westonhill Dr, San Diego, CA 92126, United States",11320.0,https://www.twitter.com/; https://www.instagram.com/ridinclean_detailing/; https://facebook.com/; https://www.facebook.com/; https://www.youtube.com/watch?v=migaq0-s8uA; https://www.linkedin.com/,152.58.179.25
LANIX DETAILING,,http://lanixautodetailing.com/,+1 858-342-4405,,,,152.58.179.25
Formula Finish,formulafinishtech@gmail.com,https://www.formulafinishtech.org/,+1 858-263-4292,"10340 Camino Santa Fe Suite G, San Diego, CA 92121, United States",10340.0,https://www.linkedin.com/company/formula-finish-tech/; https://instagram.com/formulafinishtech?igshid=YmMyMTA2M2Y=; https://www.facebook.com/formulafinishtech/,152.58.179.25
Pearl Mobile Auto Detailing San Diego,pearlmobiledetailing@gmail.com,https://www.pearlmobiledetail.com/,+1 619-748-9060,"9468 Questa Pointe, San Diego, CA 92126, United States",92126.0,https://www.facebook.com/Pearlautomobiledetailing; https://www.facebook.com/Pearlautomobiledetailing/?modal=admin_todo_tour; https://instagram.com/pearl.autodetailing.sandiego?igshid=OGQ5ZDc2ODk2ZA==; https://www.instagram.com/pearlmobiledetailing/?hl=en; https://www.tiktok.com/@pearldetail?; https://www.youtube.com/@pearldetailing/shorts; https://www.youtube.com/channel/UC9oR0jsVoo9UM6Xc90Dka4Q,152.58.179.25
